E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
304.68,2048.28,147.08,32.77,-9.97,8.03,357.32,91.38,173.26,85.31,52.56,56.16
305.25,2048.32,147.23,33.10,-10.46,8.36,340.88,93.44,173.60,85.31,52.56,56.16
305.82,2048.35,147.38,33.79,-10.76,8.37,293.05,93.28,173.71,60.14,52.56,56.16
306.40,2048.39,147.53,34.13,-10.98,8.42,281.81,92.85,175.05,60.14,52.56,56.16
306.97,2048.41,147.69,33.79,-11.19,8.69,276.45,95.33,175.77,60.14,52.56,56.16
307.54,2048.44,147.84,33.44,-11.36,8.57,270.13,96.67,171.08,60.14,52.56,56.16
308.11,2048.46,147.99,33.32,-11.62,8.45,267.17,100.11,168.90,60.14,52.56,56.16
308.67,2048.48,148.13,32.93,-11.58,8.19,258.22,100.10,170.08,60.14,52.56,56.16
309.21,2048.50,148.28,32.24,-11.77,7.94,248.01,98.43,174.13,58.09,52.56,56.16
309.75,2048.52,148.42,31.67,-11.89,7.89,259.26,96.07,174.47,58.09,52.56,56.16
310.28,2048.54,148.56,31.07,-11.97,7.55,268.37,95.46,173.09,58.09,52.56,56.16
310.81,2048.55,148.69,30.52,-12.13,7.34,278.86,96.53,171.36,58.09,52.56,56.16
311.32,2048.56,148.82,29.99,-12.02,6.95,277.78,95.24,174.23,58.09,52.56,56.16
311.82,2048.58,148.94,29.49,-12.09,6.63,266.32,94.48,184.73,58.09,52.56,58.04
312.32,2048.59,149.05,28.91,-12.18,5.89,261.92,93.66,201.00,58.09,52.56,66.60
312.81,2048.60,149.15,28.32,-12.29,5.26,280.78,91.99,222.73,66.27,52.56,70.11
313.28,2048.62,149.24,27.64,-11.92,4.72,309.72,95.91,241.18,75.06,52.56,70.11
313.74,2048.64,149.32,26.73,-11.93,4.04,361.89,95.66,255.68,90.60,52.56,70.11
314.18,2048.65,149.39,25.44,-11.95,3.58,421.02,95.52,270.06,98.02,52.56,70.11
314.60,2048.67,149.45,24.18,-11.56,3.11,466.24,103.94,288.27,98.02,52.56,70.11
315.00,2048.70,149.50,22.83,-11.06,2.18,507.45,119.22,314.98,98.02,57.95,79.67
315.38,2048.74,149.54,21.51,-10.69,1.44,535.40,122.71,335.63,98.02,57.95,79.67
315.73,2048.78,149.57,20.00,-10.64,0.53,563.87,123.21,361.06,98.02,57.95,80.45
316.07,2048.82,149.58,18.73,-10.47,-0.42,574.84,126.66,371.28,98.02,57.95,80.45
316.38,2048.86,149.57,17.77,-10.45,-1.40,582.43,126.96,419.26,98.02,57.95,95.00
316.68,2048.90,149.55,16.60,-10.55,-2.19,588.67,127.39,438.21,98.02,57.95,95.00
316.96,2048.94,149.52,15.37,-10.31,-2.88,608.67,128.69,447.95,98.02,57.95,95.00
317.22,2048.99,149.47,14.37,-10.11,-3.91,628.83,131.68,475.70,98.02,57.95,95.00
317.47,2049.03,149.41,13.62,-10.03,-4.97,634.73,132.47,496.29,98.02,57.95,95.00
317.71,2049.08,149.33,12.94,-9.79,-5.67,640.68,136.03,519.54,98.02,57.95,95.00
317.94,2049.14,149.24,12.32,-9.70,-6.29,654.70,135.68,534.42,98.02,57.95,95.00
318.16,2049.19,149.14,11.42,-9.52,-7.19,665.81,135.28,549.83,98.02,57.95,95.00
318.36,2049.25,149.03,10.65,-9.44,-8.28,681.68,136.22,551.88,98.02,57.95,95.00
318.55,2049.31,148.89,9.42,-8.97,-9.08,681.82,136.01,579.47,98.02,49.91,95.00
318.72,2049.39,148.75,8.50,-8.20,-10.03,672.16,128.58,605.75,98.02,49.91,95.00
318.87,2049.47,148.59,7.84,-7.95,-10.84,659.35,130.08,607.07,98.02,49.91,95.00
319.02,2049.54,148.42,7.35,-8.43,-11.38,680.60,122.95,626.55,98.02,49.91,95.00
319.16,2049.61,148.25,6.65,-8.78,-11.72,695.86,116.23,638.40,98.02,49.91,95.00
319.30,2049.68,148.07,6.20,-8.83,-12.21,700.62,116.00,649.71,98.02,49.91,95.00
319.42,2049.74,147.88,5.89,-8.78,-12.77,699.45,116.76,661.08,98.02,49.91,95.00
