E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
0,256,-695,-36,465,-1209,154,19820,138433,-69,290,-1162
-29,715,-1896,-5,5,-8,65,94,194,-34,-16,-75
-29,713,-1896,-6,7,-7,40,86,97,-27,-8,-57
-28,713,-1897,-6,6,-5,50,94,185,-20,-26,-52
-18,703,-1894,-23,20,-8,373,367,532,-70,-20,-87
-55,735,-1886,7,-6,-14,239,341,522,-35,-53,-74
-23,710,-1891,-7,12,-11,108,209,250,-34,-10,-51
-19,704,-1890,-11,17,-13,433,1077,1433,-91,-97,-119
-22,712,-1889,-15,12,-12,310,570,339,-63,-42,-62
-294,683,-1511,-677,-157,1273,1338202,290443,1957553,-6639,-2348,-772
-1792,365,1097,396,-102,220,687280,91230,890210,-1703,-802,-1966
-905,48,1647,-313,205,-73,23850,6238,12980,-506,39,-246
-1314,313,1508,-7,5,3,43,39,119,-19,-13,-19
-1304,306,1516,-1,9,10,57,44,187,-18,-1,-18
-1292,310,1524,-4,4,10,60,47,99,-24,-14,-10
-1205,102,1516,405,-485,61,497483,119947,564011,-760,-1109,-1758
-28,-482,1333,-264,359,595,224926,13748,448238,-2571,169,-509
-378,-51,1951,-3,-3,7,23,21,31,-14,-13,-2
-377,-45,1954,-2,-5,4,26,25,24,-12,-18,-6
-376,-47,1953,-4,-3,4,16,24,23,-12,-14,-5
-374,-46,1954,-5,-4,4,28,16,33,-18,-13,-6
-375,-48,1951,-4,-3,7,16,14,26,-14,-10,-3
-376,-46,1953,-4,-5,5,22,19,29,-15,-16,-10
-375,-46,1952,-3,-3,7,23,52,33,-12,-22,-6
-372,-38,1956,-5,-9,2,32,42,38,-17,-23,-12
-373,-43,1956,-5,-4,3,25,16,35,-14,-12,-8
-372,-43,1952,-4,-4,7,20,24,37,-15,-17,-4
-371,-42,1951,-5,-7,8,25,31,47,-17,-27,-4
-372,-41,1953,-4,-8,4,39,57,42,-16,-25,-13
