E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
88,1965,441,95,-31,2,35119,109128,16894,-463,-849,-356
531,1785,568,-449,164,-38,211352,512312,99121,-1351,-1649,-797
548,1767,701,-412,236,-137,295165,454509,169209,-2050,-1172,-969
665,1787,791,-396,226,-219,263425,358508,166253,-1706,-858,-1081
-493,2533,1026,670,-612,-459,201060,406566,134721,-563,-1627,-1159
-367,1950,268,528,-10,300,177606,273813,85331,-627,-944,-452
153,1825,494,-35,156,13,153773,283289,92021,-1082,-756,-481
-62,1982,350,232,-43,187,114865,91966,135903,-620,-490,-467
449,1976,367,-208,-48,200,234320,233759,111553,-1707,-927,-465
506,2244,618,-349,-189,-48,224864,309383,193004,-1701,-1354,-1580
374,2267,594,-159,-361,-60,183641,381499,101599,-1228,-1511,-916
99,1501,534,-12,455,11,202034,364475,207364,-1383,-981,-1161
225,1682,774,-40,196,-185,79573,273735,82817,-1158,-800,-870
346,1486,554,-65,516,-2,141953,363230,112782,-980,-597,-663
293,2235,453,-140,-271,159,149595,416151,150659,-1151,-1757,-463
17,2058,227,70,-87,301,164625,321363,83562,-928,-997,-291
-48,2045,409,239,-131,142,123636,104476,132760,-781,-947,-532
380,1891,566,-128,57,2,212747,305067,156740,-1600,-949,-637
-148,2489,496,272,-489,102,256012,471250,122458,-1316,-1798,-561
269,2177,633,-37,-238,-79,183371,398969,114207,-1003,-1494,-1255
230,1663,425,-146,370,-178,182436,186035,125647,-1233,-591,-818
393,1466,471,-116,407,39,136442,316678,116605,-929,-690,-1019
497,1792,195,-232,210,397,248942,366603,180923,-1348,-914,-274
419,2327,842,-253,-386,-241,365205,357841,206877,-1782,-1471,-1575
-234,1654,784,312,337,-339,88944,139197,85329,-495,-226,-933
186,1814,306,93,145,204,175701,164754,86220,-1228,-701,-312
151,1925,381,-27,47,109,184684,143485,66184,-1343,-645,-489
147,1815,431,131,143,67,135508,151202,89800,-1068,-630,-643
398,1872,348,-72,61,160,129710,122188,75374,-1046,-517,-412
467,2074,414,-264,-62,-45,172627,175515,82684,-1073,-767,-759
-78,1577,529,382,414,78,159154,177298,141439,-811,-136,-776
203,2012,511,61,-131,75,190503,359767,88304,-1437,-1137,-589
212,1468,523,28,407,32,171580,392921,138986,-1104,-707,-1016
291,1309,433,11,652,158,211694,375707,148722,-1405,-645,-577
175,1806,1157,127,204,-732,185554,136594,209064,-659,-677,-1660
-4,2117,470,246,-140,35,117865,312163,86824,-772,-1186,-451
2,2317,425,321,-414,105,120264,336860,122800,-566,-1280,-754
109,1733,475,151,183,87,110328,323527,101009,-748,-819,-374
216,1803,540,-96,227,-29,175440,358257,107611,-1531,-1142,-569
203,1855,602,221,71,14,175384,187740,93301,-1159,-1047,-823
495,1990,587,-187,-97,-13,189703,318020,99550,-1415,-1113,-540
218,1302,439,34,539,130,198364,543439,136091,-1451,-632,-666
466,1554,563,-168,457,-5,292972,455363,175041,-1465,-722,-1273
555,2218,651,-349,-247,-134,291397,223151,158211,-2426,-1387,-1131
124,1641,257,182,339,241,173870,318768,78339,-1316,-691,-86
242,1548,555,-31,413,-74,180123,379809,90755,-1049,-1262,-686
246,1692,363,-3,238,139,231715,384270,115840,-1580,-1046,-544
155,1890,451,-19,126,-31,251624,251537,86110,-1384,-663,-510
-115,1857,81,492,151,301,134338,121788,62157,-106,-496,-64
92,2483,281,54,-496,226,290585,414898,102886,-1354,-1746,-369
18,2144,566,235,-188,-78,265017,435186,115869,-1200,-1277,-1119
242,1470,353,-190,489,139,244636,612896,137073,-1753,-1291,-750
80,1638,413,241,314,14,92675,278124,83036,-547,-780,-515
550,2774,707,-235,-803,-186,234330,375479,95574,-1421,-1735,-776
-316,2347,899,510,-367,-425,194824,403499,162404,-875,-1715,-1259
64,1770,543,144,203,-91,163935,399677,117735,-1162,-1065,-700
37,1882,316,228,111,95,122198,198791,86305,-415,-663,-517
206,2018,-27,-14,-24,316,137543,362917,150600,-949,-1776,-278
633,1987,244,-424,56,223,276097,477797,179260,-1835,-1248,-447
-355,1791,935,651,186,-419,267912,373372,162941,-608,-948,-1224
416,2112,579,-217,-144,-151,104441,171284,120474,-1160,-874,-825
327,1636,538,-41,252,-9,110210,208952,66761,-1256,-515,-894
569,1644,778,-192,291,-184,168236,156849,71878,-1216,-645,-738
-244,2476,776,478,-530,-158,77994,154317,90118,-531,-1260,-711
149,2039,491,52,-96,55,98057,229705,100289,-972,-1208,-454
68,1225,420,-98,744,152,103315,219402,127858,-1395,-37,-492
-77,2139,147,130,-293,-213,71843,197699,613434,-503,-1865,-2209
