E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
-19,730,136,-59,1271,261,1302,151545,7551,-121,783,161
-62,1992,403,-54,0,33,205,83,199,-78,-25,3
-123,1980,423,-5,14,2,77,57,43,-24,-2,-14
-111,1994,406,2,3,9,91,58,687,-12,-15,-28
-92,1976,456,-4,5,22,149,72,204,-33,-13,-3
-77,1967,483,-4,17,-24,885,669,1344,-87,-18,-127
-48,2028,310,-39,-13,44,2717,739,7654,-168,-70,-110
-60,1970,473,-70,5,29,793,614,759,-161,-86,-23
-131,1977,440,-5,7,25,153,91,587,-32,-18,-17
-128,1972,478,-8,12,-8,146,95,338,-44,-5,-55
-110,1976,423,54,-8,99,5099,2069,6605,-12,-141,6
117,1990,671,0,-63,-26,639,1389,850,-68,-175,-128
136,1910,625,14,17,9,382,751,1028,-44,-117,-127
116,1912,629,-21,49,-96,4595,3875,13642,-186,-51,-367
7,2000,370,-124,-30,166,4096,1106,3593,-320,-108,87
-47,1965,527,6,2,19,903,28,144,-33,-15,-2
-39,1959,537,0,8,3,39,41,28,-21,-3,-7
-25,1965,510,6,18,-30,2088,440,1847,-96,-17,-136
-35,1979,402,-120,-11,113,19666,19838,16788,-512,-303,-126
-57,2005,494,32,-21,0,1448,480,383,-26,-63,-42
129,1952,490,153,-9,42,27134,6397,18083,-314,-169,-84
-120,2148,602,-40,-143,-261,8500,9798,30727,-284,-486,-826
-146,1971,353,69,92,-103,25172,13494,7140,-677,-29,-597
-582,2155,338,242,-191,33,66230,25918,4549,-294,-552,-139
-618,1978,322,60,-28,14,4653,542,644,-36,-75,-42
-568,1928,301,-57,4,14,905,280,246,-114,-36,-20
