X,Y,X,
345,2045,63
339,2030,65
352,2050,63
334,2053,64
335,2053,64
325,2037,64
337,2029,69
339,2038,66
341,2045,70
337,2049,72
336,2051,57
333,2045,66
332,2051,60
322,2054,59
328,2052,66
325,2045,65
331,2044,59
327,2045,61
329,2044,54
331,2054,63
322,2058,55
326,2040,50
328,2043,57
330,2046,49
325,2047,58
328,2051,51
327,2044,69
328,2053,54
321,2047,53
330,2040,59
329,2050,59
328,2053,58
328,2050,51
327,2052,59
328,2045,61
327,2049,50
328,2049,54
327,2045,50
327,2045,52
334,2046,60
331,2051,51
324,2046,47
327,2048,55
326,2042,49
332,2042,52
330,2040,56
327,2053,58
334,2047,47
329,2051,54
325,2049,57
326,2045,55
327,2042,51
327,2040,53
320,2051,57
330,2046,57
328,2046,54
315,2046,58
325,2053,64
328,2045,52
331,2044,60
327,2049,64
324,2050,61
316,2044,55
317,2046,62
323,2049,57
323,2046,65
317,2043,52
323,2048,51
327,2043,58
328,2050,59
321,2045,56
309,2051,59
318,2050,70
322,2060,59
318,2047,64
309,2051,60
312,2047,54
301,2052,58
308,2046,72
319,2048,70
328,2048,62
327,2044,69
329,2045,67
323,2045,72
318,2043,75
308,2052,77
297,2049,83
289,2047,79
298,2054,69
289,2050,60
288,2047,53
301,2046,58
301,2045,48
277,2052,58
275,2059,61
301,2055,60
303,2059,61
291,2051,64
312,2046,72
315,2045,66
323,2046,65
324,2044,60
324,2040,63
318,2058,63
317,2052,51
318,2051,51
305,2043,57
293,2046,46
310,2045,53
300,2055,44
303,2048,45
291,2048,48
304,2051,47
292,2052,43
291,2054,53
303,2054,54
303,2052,43
308,2049,33
308,2056,45
298,2058,40
291,2050,43
291,2051,53
301,2048,48
320,2044,46
310,2048,39
310,2044,40
297,2059,41
288,2054,40
292,2054,46
298,2049,44
294,2057,48
299,2038,46
306,2040,42
313,2042,30
309,2053,29
303,2058,27
280,2065,27
276,2056,37
266,2057,32
272,2045,39
283,2059,33
301,2045,37
311,2047,35
309,2049,46
298,2047,27
312,2055,19
292,2059,26
297,2057,17
316,2047,26
288,2047,11
304,2042,13
299,2047,-11
288,2049,-25
289,2065,-11
314,2058,18
334,2055,13
346,2029,-3
368,2025,0
378,2030,0
390,2028,18
377,2043,19
376,2053,22
378,2066,17
368,2087,21
351,2110,30
295,2139,63
240,2119,42
198,2042,43
172,1926,97
182,1755,208
247,1918,375
369,2399,494
552,2721,519
586,2502,430
713,2202,384
483,1798,614
537,1948,743
423,1973,622
273,1819,658
137,1691,719
123,1683,725
203,1689,653
273,1619,655
306,1580,652
307,1547,569
373,1551,626
404,1507,639
419,1601,665
355,1758,742
249,1919,742
165,2069,763
177,2159,802
247,2237,846
284,2273,950
292,2218,1073
193,2392,1292
535,2787,1178
522,2600,674
153,2274,713
10,1699,787
-102,1333,601
-242,1531,201
-380,1756,251
-155,2138,237
403,2372,104
788,2133,-25
407,1734,14
281,1645,211
267,1823,266
213,1934,138
268,2033,166
306,2019,157
322,1939,134
271,1885,198
355,1846,96
316,1855,148
264,1826,177
336,1841,117
417,1835,98
462,1807,97
439,1719,69
409,1726,51
506,1853,157
467,1931,118
