E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
474.33,1940.85,141.55,-83.45,-183.99,276.83,201420.95,1207565.93,404913.92,2380.11,8570.11,4765.44
453.14,1878.30,446.44,-47.29,-7.86,211.30,238655.09,675617.76,476216.50,2118.91,4558.20,2824.52
476.85,1871.82,555.69,62.88,26.54,90.89,327797.04,1323139.29,491078.87,2632.72,8733.99,3430.05
489.12,1894.71,529.87,41.62,20.60,-104.06,355748.25,1077817.75,346090.61,2699.88,6037.98,3012.89
476.01,1971.57,433.20,-127.15,86.64,-192.51,197322.28,1149027.44,237287.90,2678.60,6910.91,2602.93
444.26,2033.00,217.66,79.37,0.91,-234.96,39186.40,232360.24,2569.69,1088.51,4039.80,1379.40
