E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
267.16,1953.43,235.46,20.62,82.66,-127.20,94825.18,308607.43,193255.51,1901.08,2355.38,2351.82
267.62,1955.07,233.43,27.05,89.77,-127.99,97531.76,312511.15,193797.14,1901.08,2355.38,2351.82
268.20,1956.98,231.45,34.44,106.58,-124.84,101510.40,330006.87,192228.18,1901.08,2355.38,2351.82
268.89,1959.16,229.47,41.19,123.74,-124.91,106605.58,342652.00,192292.12,1901.08,2355.38,2351.82
269.62,1961.53,227.43,43.38,135.18,-128.48,108062.78,350263.29,195508.75,1901.08,2355.38,2351.82
270.24,1963.96,225.32,37.46,138.50,-133.11,103506.16,352057.87,199914.75,1901.08,2355.38,2351.82
270.62,1966.17,223.08,21.55,125.75,-140.75,100143.91,337004.06,206002.01,1901.08,2355.38,2351.82
270.59,1968.16,220.91,-3.68,110.95,-136.41,96240.01,317085.13,201294.85,1638.55,2355.38,2351.82
270.26,1969.87,218.92,-22.07,94.32,-125.79,95811.25,299382.49,189538.04,1638.55,2355.38,2128.98
269.81,1971.29,217.03,-30.01,76.04,-118.93,97596.71,279629.84,183232.96,1638.55,2355.38,2107.23
269.46,1972.53,215.28,-23.21,64.78,-110.53,95943.79,265168.34,177214.19,1638.55,2355.38,2107.23
269.37,1973.76,213.66,-7.48,64.36,-102.00,91434.11,264779.97,170509.87,1638.55,2355.38,2107.23
269.50,1975.02,212.12,6.50,65.41,-97.40,86586.38,264874.78,167633.74,1638.55,2355.38,2107.23
269.77,1976.25,210.68,15.04,64.73,-91.25,82224.46,264932.94,166258.11,1638.55,2355.38,2107.23
270.13,1977.50,209.37,20.84,64.92,-82.90,80664.64,264911.15,165603.91,1638.55,2355.38,2107.23
270.53,1978.66,208.20,22.97,60.07,-73.84,81198.59,265005.92,165700.02,1638.55,2355.38,2107.23
270.87,1979.61,207.18,19.88,46.33,-64.96,80777.06,271011.54,163470.05,1638.55,2355.38,2107.23
271.24,1980.33,206.27,21.35,32.17,-58.10,80778.55,279507.10,163099.18,1638.55,2355.38,2107.23
271.67,1980.84,205.46,25.15,19.70,-51.57,80800.76,288611.55,163993.94,1638.55,2355.38,2107.23
272.09,1981.09,204.66,24.07,2.60,-51.22,80967.18,300280.67,164130.67,1638.55,2355.38,2107.23
272.42,1981.06,203.86,19.06,-14.03,-51.10,81449.61,314420.59,164186.13,1638.55,2355.38,2107.23
272.66,1980.87,203.11,13.04,-24.46,-48.14,82201.43,327018.95,165062.17,1638.55,2355.38,2107.23
